,IdAlumno,CantParcialesDesaprobados,CantFinalesDesaprobados,ExcedeNotasDesaprobadasNoParcNoFin,CantCursosDesaprobados,CantCursos,ExcedeMitadCursosDesaprobados,ProgramaAlu
0,100002894,0,0,NO,0,3,NO,Nutrición y Dietética
1,100003558,3,3,SI,3,4,SI,Medic Veterinaria y Zootecnia
2,100003932,1,0,NO,0,1,NO,Medicina Humana
3,100003946,2,3,SI,1,4,NO,Medic Veterinaria y Zootecnia
4,100003989,0,0,NO,0,5,NO,Psicología
5,100004062,4,3,NO,2,5,NO,Medic Veterinaria y Zootecnia
6,100004070,0,0,SI,0,7,NO,Ing. Económica y de Negocios
7,100004235,0,0,NO,0,2,NO,Medic Veterinaria y Zootecnia
8,100004239,0,0,NO,0,5,NO,Medicina Humana
9,100005166,1,1,NO,0,1,NO,Medic Veterinaria y Zootecnia
10,100005182,0,0,NO,0,3,NO,Ing. de Sistemas Empresariales
11,100006719,0,0,NO,0,2,NO,Medicina Humana
12,100007381,0,0,NO,0,4,NO,Medicina Humana
13,100007741,2,1,NO,1,4,NO,Arquitectura y Urb Ambiental
14,100007911,1,1,NO,1,1,SI,Arquitectura y Urb Ambiental
15,100008630,0,0,NO,0,2,NO,Ing. Negocios Agroforestales
16,100009753,3,3,SI,3,3,SI,Arquitectura y Urb Ambiental
17,100009785,2,1,NO,2,2,SI,Arquitectura y Urb Ambiental
18,100010078,4,4,SI,3,5,SI,Medic Veterinaria y Zootecnia
19,100010081,1,2,SI,1,2,SI,Turismo Sostenible y Hotelería
20,100010186,0,0,NO,0,2,NO,Estomatología
21,100010212,0,0,NO,0,2,NO,Medic Veterinaria y Zootecnia
22,100010293,0,0,NO,0,1,NO,Medic Veterinaria y Zootecnia
23,100010396,0,0,NO,0,3,NO,Ing. Negocios Agroforestales
24,100010899,1,2,NO,0,5,NO,Estomatología
25,100011191,3,3,SI,1,5,NO,Estomatología
26,100011253,0,0,NO,0,2,NO,Medic Veterinaria y Zootecnia
27,100011445,1,2,NO,1,2,SI,Medicina Humana
28,100011542,2,2,NO,1,3,NO,Arquitectura y Urb Ambiental
29,100011563,3,3,SI,2,4,SI,Medic Veterinaria y Zootecnia
30,100011634,0,1,NO,0,5,NO,Medicina Humana
31,100011951,4,2,NO,2,5,NO,Medic Veterinaria y Zootecnia
32,100012232,0,0,NO,0,1,NO,Medicina Humana
33,100012481,1,0,NO,0,2,NO,Arquitectura y Urb Ambiental
34,100012563,0,0,NO,0,1,NO,Medicina Humana
35,100012567,1,0,NO,0,5,NO,Medicina Humana
36,100012691,2,1,NO,0,5,NO,Ingeniería y Gestión Ambiental
37,100012710,1,0,NO,1,1,SI,Medicina Humana
38,100012794,1,0,NO,0,2,NO,Estomatología
39,100012869,1,1,SI,0,2,NO,Medicina Humana
40,100012878,1,0,NO,0,2,NO,Ingeniería y Gestión Ambiental
41,100013014,0,0,NO,0,3,NO,Ing. Negocios Agroforestales
42,100013141,2,1,NO,1,4,NO,Medic Veterinaria y Zootecnia
43,100013267,3,3,SI,3,5,SI,Medicina Humana
44,100013775,2,2,NO,2,2,SI,Medic Veterinaria y Zootecnia
45,100014074,2,1,NO,0,6,NO,Ingeniería y Gestión Ambiental
46,100014094,0,1,NO,0,2,NO,Medic Veterinaria y Zootecnia
47,100014106,1,1,NO,1,1,SI,Biología Marina y Econegocio
48,100014115,1,0,NO,0,2,NO,Adm. Negocios Internacionales
49,100014152,2,2,NO,1,4,NO,Medic Veterinaria y Zootecnia
50,100014331,1,1,NO,1,2,SI,Medicina Humana
51,100014462,0,0,NO,0,5,NO,Medicina Humana
52,100014599,4,4,SI,4,6,SI,Turismo Sostenible y Hotelería
53,100014658,1,2,NO,1,3,NO,Medic Veterinaria y Zootecnia
54,100014670,0,0,NO,0,1,NO,Estomatología
55,100014672,1,0,NO,0,1,NO,Estomatología
56,100014698,2,1,NO,0,4,NO,Biología Marina y Econegocio
57,100014699,0,1,NO,0,6,NO,Medicina Humana
58,100014821,1,1,NO,0,2,NO,Medicina Humana
59,100014826,1,0,NO,0,6,NO,Adm. Negocios Internacionales
60,100014891,1,2,NO,2,2,SI,Medic Veterinaria y Zootecnia
61,100015184,0,0,NO,1,1,SI,Ingeniería y Gestión Ambiental
62,100015274,2,1,NO,0,3,NO,Medicina Humana
63,100015340,2,1,NO,1,2,SI,Medic Veterinaria y Zootecnia
64,100015344,0,0,NO,0,4,NO,Medicina Humana
65,100015358,1,0,NO,0,1,NO,Medicina Humana
66,100015389,2,3,NO,2,4,SI,Medicina Humana
67,100015416,0,0,NO,0,2,NO,Medic Veterinaria y Zootecnia
68,100015457,1,3,NO,0,5,NO,Biología Marina y Econegocio
69,100015528,2,2,NO,0,4,NO,Biología Marina y Econegocio
70,100015608,2,0,SI,1,6,NO,Ingeniería y Gestión Ambiental
71,100015695,0,0,NO,0,6,NO,Ing. de Sistemas Empresariales
72,100015761,2,2,NO,0,5,NO,Nutrición y Dietética
73,100015954,2,1,NO,0,3,NO,Biología Marina y Econegocio
74,100016323,4,5,NO,3,5,SI,Medic Veterinaria y Zootecnia
75,100016426,0,0,NO,0,1,NO,Medic Veterinaria y Zootecnia
76,100016436,1,0,NO,0,1,NO,Medic Veterinaria y Zootecnia
77,100016502,3,2,NO,1,3,NO,Medic Veterinaria y Zootecnia
78,100016716,0,0,NO,0,1,NO,Medicina Humana
79,100017020,0,1,NO,0,1,NO,Medicina Humana
80,100017037,2,2,SI,2,4,SI,Estomatología
81,100017072,2,0,NO,0,5,NO,Enfermería
82,100017319,0,1,NO,0,2,NO,Medic Veterinaria y Zootecnia
83,100017399,0,0,NO,0,4,NO,Medic Veterinaria y Zootecnia
84,100017416,1,0,NO,0,2,NO,Medicina Humana
85,100017427,0,0,NO,0,2,NO,Medicina Humana
86,100017567,2,1,NO,1,2,SI,Medicina Humana
87,100017706,0,0,NO,0,1,NO,Comunicación y Publicidad
88,100017710,0,0,NO,0,5,NO,Medicina Humana
89,100017720,0,0,NO,0,1,NO,Medicina Humana
90,100017760,5,5,SI,5,5,SI,Medic Veterinaria y Zootecnia
91,100017808,0,0,NO,1,1,SI,Medicina Humana
92,100017886,0,1,NO,1,5,NO,Medicina Humana
93,100017897,0,0,NO,0,5,NO,Medicina Humana
94,100017913,2,1,NO,1,5,NO,Medicina Humana
95,100018623,1,2,SI,2,2,SI,Medicina Humana
96,100018938,4,3,NO,1,5,NO,Medic Veterinaria y Zootecnia
97,100019043,2,2,NO,0,4,NO,Medic Veterinaria y Zootecnia
98,100019174,0,1,NO,0,6,NO,Administracion de Empresas
99,100019204,1,0,NO,0,2,NO,Medicina Humana
100,100019238,0,1,NO,0,2,NO,Artes Escénicas y Literatura
101,100019342,2,1,NO,0,3,NO,Medicina Humana
102,100019413,2,2,SI,1,6,NO,Ingeniería Ambiental
103,100019601,1,0,NO,0,3,NO,Biología Marina y Econegocio
104,100019635,3,2,NO,0,3,NO,Medic Veterinaria y Zootecnia
105,100019704,2,1,NO,0,4,NO,Medicina Humana
106,100019707,2,2,NO,0,5,NO,Medicina Humana
107,100019709,0,2,NO,0,6,NO,Medicina Humana
108,100019786,0,3,NO,0,7,NO,Medicina Humana
109,100019908,1,1,NO,0,2,NO,Biología Marina y Econegocio
110,100020034,2,2,SI,2,3,SI,Medicina Humana
111,100020124,2,0,NO,0,4,NO,Medicina Humana
112,100020148,1,0,NO,0,3,NO,Medicina Humana
113,100020187,0,0,NO,0,1,NO,Psicología
114,100020193,5,2,NO,1,5,NO,Biología Marina
115,100020254,0,1,SI,1,7,NO,Ingeniería Ambiental
116,100020272,0,0,NO,0,1,NO,Nutrición y Dietética
117,100020372,1,1,NO,0,1,NO,Medicina Humana
118,100020609,1,0,NO,0,2,NO,Medicina Humana
119,100020703,2,2,NO,0,7,NO,Medicina Humana
120,100020814,0,0,NO,0,4,NO,Artes Escénicas y Literatura
121,100020950,1,2,NO,0,6,NO,Medicina Humana
122,100020968,2,1,SI,2,4,SI,Medicina Humana
123,100021091,2,2,SI,2,3,SI,Medicina Humana
124,100021145,0,0,NO,0,6,NO,Medicina Humana
125,100021177,1,1,NO,0,3,NO,Medic Veterinaria y Zootecnia
126,100021219,1,3,NO,0,6,NO,Medicina Humana
127,100021242,1,1,NO,1,2,SI,Estomatología
128,100021279,5,4,SI,2,6,NO,Biología Marina y Econegocio
129,100021604,3,1,SI,1,5,NO,Estomatología
130,100021711,0,0,NO,0,4,NO,Medic Veterinaria y Zootecnia
131,100021724,2,2,NO,0,5,NO,Medicina Humana
132,100021732,3,4,SI,2,4,SI,Medicina Humana
133,100021739,0,0,NO,0,1,NO,Estomatología
134,100021786,0,0,NO,0,5,NO,Medicina Humana
135,100021887,2,2,SI,2,2,SI,Medicina Humana
136,100022237,1,1,NO,0,4,NO,Ingeniería y Gestión Ambiental
137,100022253,2,2,NO,0,5,NO,Medic Veterinaria y Zootecnia
138,100022272,0,0,NO,0,1,NO,Enfermería
139,100022284,2,3,NO,1,3,NO,Medic Veterinaria y Zootecnia
140,100022297,1,1,NO,1,3,NO,Medicina Humana
141,100022302,1,1,NO,0,2,NO,Medic Veterinaria y Zootecnia
142,100022386,0,1,NO,0,6,NO,Obstetricia
143,100022413,2,3,SI,2,3,SI,Medic Veterinaria y Zootecnia
144,100022525,0,0,NO,0,5,NO,Medic Veterinaria y Zootecnia
145,100022547,3,5,NO,1,6,NO,Medic Veterinaria y Zootecnia
146,100022595,1,1,NO,1,2,SI,Nutrición y Dietética
147,100022817,1,2,NO,0,4,NO,Medicina Humana
148,100022889,1,1,NO,1,2,SI,Medicina Humana
149,100022940,0,0,NO,0,1,NO,Comunicación y Publicidad
150,100022961,0,0,NO,0,3,NO,Ing. de Sistemas Empresariales
151,100022972,1,1,NO,0,3,NO,Medic Veterinaria y Zootecnia
152,100022980,4,4,SI,3,5,SI,Medic Veterinaria y Zootecnia
153,100022981,2,2,NO,0,5,NO,Biología Marina y Econegocio
154,100022998,3,1,NO,1,3,NO,Medicina Humana
155,100023003,0,0,NO,0,2,NO,Medicina Humana
156,100023088,0,0,NO,0,3,NO,Medicina Humana
157,100023185,3,2,NO,0,3,NO,Medic Veterinaria y Zootecnia
158,100023190,0,1,NO,1,3,NO,Medicina Humana
159,100023220,4,2,NO,2,4,SI,Medic Veterinaria y Zootecnia
160,100023238,0,0,NO,0,5,NO,Medicina Humana
161,100023239,1,1,NO,1,2,SI,Nutrición y Dietética
162,100023246,2,2,NO,1,4,NO,Medic Veterinaria y Zootecnia
163,100023335,3,2,NO,2,3,SI,Medic Veterinaria y Zootecnia
164,100023349,1,2,NO,0,4,NO,Medicina Humana
165,100023432,0,2,NO,0,4,NO,Ingeniería Agroforestal
166,100023499,2,1,NO,1,2,SI,Medicina Humana
167,100023503,1,0,NO,0,3,NO,Medicina Humana
168,100023521,2,2,NO,2,4,SI,Medic Veterinaria y Zootecnia
169,100023641,1,2,NO,1,2,SI,Medicina Humana
170,100023658,0,1,NO,0,6,NO,Medicina Humana
171,100023756,0,0,NO,0,6,NO,Psicología
172,100023812,1,0,SI,1,3,NO,Ing. Negocios Agroforestales
173,100023815,2,1,NO,0,2,NO,Medic Veterinaria y Zootecnia
174,100023834,0,0,NO,0,6,NO,Medicina Humana
175,100023900,0,0,NO,0,3,NO,Medicina Humana
176,100024000,0,0,NO,0,4,NO,Derecho
177,100024002,1,1,NO,1,1,SI,Turismo Sostenible y Hotelería
178,100024052,0,1,NO,0,5,NO,Medicina Humana
179,100024123,0,0,NO,0,2,NO,Psicología
180,100024145,1,1,NO,1,2,SI,Marketing y Administración
181,100024171,0,2,NO,0,6,NO,Turismo Sostenible y Hotelería
182,100024178,1,0,NO,0,1,NO,Estomatología
183,100024233,3,2,NO,0,6,NO,Ing. Económica y de Negocios
184,100024442,1,2,NO,0,5,NO,Ingeniería y Gestión Ambiental
185,100024525,3,2,NO,0,3,NO,Medicina Humana
186,100024539,3,4,SI,3,5,SI,Medic Veterinaria y Zootecnia
187,100024554,1,1,NO,0,6,NO,Biología Marina y Econegocio
188,100024557,0,0,NO,0,7,NO,Ing. Económica y de Negocios
189,100024623,1,0,NO,0,6,NO,Marketing y Administración
190,100024715,1,0,NO,0,2,NO,Medicina Humana
191,100024725,1,0,NO,0,5,NO,Medicina Humana
192,100025426,0,0,NO,0,1,NO,Estomatología
193,100025458,2,1,NO,1,4,NO,Medic Veterinaria y Zootecnia
194,100025572,0,0,NO,1,2,SI,Medicina Humana
195,100025637,2,4,NO,0,5,NO,Medicina Humana
196,100025655,0,0,NO,0,6,NO,Medicina Humana
