IdAlumno,Genero,FechaNacimiento,Distrito,Provincia,Departamento,FamiliarResponsable,AnioNacimiento
100002894,M,1994-08-10,ATE,LIMA ,LIMA,,1994
100006719,M,1991-10-29,JESÚS MARÍA,LIMA ,LIMA,,1991
100009673,F,1993-08-30,COMAS,LIMA ,LIMA,,1993
100010409,F,1993-02-03,LURIN,LIMA ,LIMA,,1993
100012017,F,1995-05-27,VENTANILLA,PROV. CONST. DEL CALLAO,CALLAO,,1995
100012989,F,1993-11-13,VILLA EL SALVADOR,LIMA ,LIMA,,1993
100014154,M,1996-11-14,LIMA,LIMA ,LIMA,,1996
100014619,M,1997-01-20,LOS OLIVOS,LIMA ,LIMA,,1997
100014801,F,1997-01-14,LIMA,LIMA ,LIMA,,1997
100015246,F,1998-05-03,LA MOLINA,LIMA ,LIMA,,1998
100016076,F,1997-07-22,MIRAFLORES,LIMA ,LIMA,,1997
100017124,F,1997-09-08,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,,1997
100017449,M,1997-02-18,PACHACAMAC,LIMA ,LIMA,,1997
100017684,M,1992-05-29,SANTA ANITA,LIMA ,LIMA,,1992
100017878,M,1995-09-12,CHORRILLOS,LIMA ,LIMA,,1995
100018280,M,1977-04-16,SANTIAGO DE SURCO,LIMA ,LIMA,,1977
100020564,F,1993-06-21,LOS OLIVOS,LIMA ,LIMA,,1993
100020703,F,1987-03-27,SAN MARTÍN DE PORRES,LIMA ,LIMA,,1987
100021170,F,1997-10-12,SANTIAGO DE SURCO,LIMA ,LIMA,,1997
100021375,F,1997-09-07,PUEBLO LIBRE,LIMA ,LIMA,,1997
100022824,M,1996-01-22,LIMA,LIMA ,LIMA,,1996
100022849,F,1994-02-25,ATE,LIMA ,LIMA,,1994
100023542,F,1998-07-24,SAN BORJA,LIMA ,LIMA,Madre,1998
100023658,M,1997-11-17,SANTA ANITA,LIMA ,LIMA,Madre,1997
100023931,F,1998-04-24,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,,1998
100024001,F,1984-07-01,JESÚS MARÍA,LIMA ,LIMA,,1984
100024525,M,1975-04-20,LA VICTORIA,LIMA ,LIMA,,1975
100024557,M,1998-06-15,CHORRILLOS,LIMA ,LIMA,,1998
100024623,M,2000-03-09,COMAS,LIMA ,LIMA,,2000
100024883,F,1998-12-30,CHORRILLOS,LIMA ,LIMA,Madre,1998
100025637,M,1999-08-11,ATE,LIMA ,LIMA,,1999
100025655,F,1998-10-06,LINCE,LIMA ,LIMA,,1998
100025904,M,1999-05-21,SAN ISIDRO,LIMA ,LIMA,,1999
100026240,M,1998-04-11,SAN MARTÍN DE PORRES,LIMA ,LIMA,,1998
100026834,F,1999-07-09,CARABAYLLO,LIMA ,LIMA,,1999
100026840,F,1998-11-23,LURIN,LIMA ,LIMA,,1998
100027200,M,1999-03-02,SAN BORJA,LIMA ,LIMA,,1999
100027266,F,1978-05-15,EL AGUSTINO,LIMA ,LIMA,,1978
100027669,M,1991-06-29,CARABAYLLO,LIMA ,LIMA,,1991
100028637,F,1999-04-14,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,Madre,1999
100028945,M,1999-01-14,LURIN,LIMA ,LIMA,,1999
100029461,F,1987-01-09,CHACLACAYO,LIMA ,LIMA,,1987
100029624,M,1996-10-20,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,,1996
100029766,F,1999-11-17,LIMA,LIMA ,LIMA,,1999
100029986,M,1998-12-01,PUENTE PIEDRA,LIMA ,LIMA,,1998
100030225,M,2004-06-12,CHORRILLOS,LIMA ,LIMA,Madre,2004
100030260,M,1996-09-16,VILLA MARÍA DEL TRIUNFO,LIMA ,LIMA,Padre,1996
100030429,M,1999-04-26,VILLA EL SALVADOR,LIMA ,LIMA,,1999
100030843,F,1998-10-27,VILLA EL SALVADOR,LIMA ,LIMA,,1998
100031200,F,1995-01-24,SANTA ANITA,LIMA ,LIMA,,1995
100031380,F,1973-01-04,SAN ISIDRO,LIMA ,LIMA,,1973
100031775,F,1998-03-26,CHORRILLOS,LIMA ,LIMA,,1998
100032530,F,1999-10-01,BARRANCO,LIMA ,LIMA,,1999
100033607,F,1993-07-24,LURIN,LIMA ,LIMA,,1993
100033713,F,1993-12-09,AYACUCHO,HUAMANGA,AYACUCHO,Madre,1993
100033794,F,1997-10-17,SAN MARTÍN DE PORRES,LIMA ,LIMA,,1997
100034725,M,1999-10-26,SAN MIGUEL,LIMA ,LIMA,,1999
100034996,M,1999-09-23,LIMA,LIMA ,LIMA,,1999
100035442,M,1999-02-04,LA PERLA,PROV. CONST. DEL CALLAO,CALLAO,,1999
100035904,F,1999-03-07,SANTIAGO DE SURCO,LIMA ,LIMA,,1999
100035982,F,1991-12-22,PACHACAMAC,LIMA ,LIMA,,1991
100036210,M,1987-09-21,SAN BORJA,LIMA ,LIMA,,1987
100036563,F,2000-03-18,CHORRILLOS,LIMA ,LIMA,Padre,2000
100036589,F,2000-04-06,SAN MARTÍN DE PORRES,LIMA ,LIMA,,2000
100037232,F,1999-07-20,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,,1999
100037241,F,1992-08-03,VILLA MARÍA DEL TRIUNFO,LIMA ,LIMA,,1992
100037336,F,1996-01-18,CHORRILLOS,LIMA ,LIMA,,1996
100037550,F,1998-06-26,PUENTE PIEDRA,LIMA ,LIMA,,1998
100037840,M,1999-02-26,LURIN,LIMA ,LIMA,Madre,1999
100038188,F,1989-04-04,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,,1989
100038257,M,1999-04-15,PUENTE PIEDRA,LIMA ,LIMA,,1999
100038280,F,1999-07-13,SANTIAGO DE SURCO,LIMA ,LIMA,Madre,1999
100038661,F,1992-09-27,CARHUAZ,CARHUAZ,ÁNCASH,,1992
100038762,M,1995-08-29,ATE,LIMA ,LIMA,,1995
100038938,F,2000-11-21,CHORRILLOS,LIMA ,LIMA,Madre,2000
100039564,F,2000-09-18,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,,2000
100039856,F,1997-02-19,MIRAFLORES,LIMA ,LIMA,,1997
100039932,F,2001-08-29,BARRANCO,LIMA ,LIMA,,2001
100039956,M,2000-03-21,VENTANILLA,PROV. CONST. DEL CALLAO,CALLAO,Madre,2000
100040173,F,1998-03-17,ABANCAY,ABANCAY,APURÍMAC,,1998
100040381,M,2001-02-17,LA VICTORIA,LIMA ,LIMA,,2001
100040788,F,2001-09-21,SANTA ANITA,LIMA ,LIMA,,2001
100040878,M,2000-09-26,CARABAYLLO,LIMA ,LIMA,Apoderado,2000
