IdAlumno,Prediccion,Edad,Genero,Distrito,Provincia,Departamento,FamiliarResponsable,CantParcialesDesaprobados,CantFinalesDesaprobados,ExcedeNotasDesaprobadasNoParcNoFin,ExcedeMitadCursosDesaprobados,GrupoEdad,ExcedePagosAtrasados,TipoColegio,Desercion
100004070,0,17.0,F,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,0,0,SI,NO,MenosDe18,1.0,PUBL,0
100008630,0,16.0,F,ATE,LIMA,LIMA,Apoderado,0,0,NO,NO,MenosDe18,1.0,PRIV,0
100009785,1,16.0,F,CHORRILLOS,LIMA,LIMA,Apoderado,2,1,NO,SI,MenosDe18,1.0,PRIV,0
100011191,1,17.0,F,COMAS,LIMA,LIMA,Apoderado,6,6,SI,NO,MenosDe18,0.0,PUBL,1
100012563,0,16.0,F,COMAS,LIMA,LIMA,Apoderado,0,0,NO,NO,MenosDe18,0.0,PRIV,1
100014106,1,17.0,F,CHORRILLOS,LIMA,LIMA,Apoderado,1,1,NO,SI,MenosDe18,1.0,PRIV,1
100014115,0,16.0,F,COMAS,LIMA,LIMA,Apoderado,2,0,NO,NO,MenosDe18,0.0,PRIV,1
100014891,1,17.0,F,COMAS,LIMA,LIMA,Apoderado,2,4,NO,SI,MenosDe18,,PRIV,0
100015358,0,17.0,F,ATE,LIMA,LIMA,Apoderado,1,0,NO,NO,MenosDe18,1.0,PRIV,0
100015416,0,16.0,F,ATE,LIMA,LIMA,Apoderado,0,0,NO,NO,MenosDe18,0.0,PRIV,1
100016426,0,16.0,F,COMAS,LIMA,LIMA,Apoderado,0,0,NO,NO,MenosDe18,,PRIV,1
100017913,1,17.0,F,ATE,LIMA,LIMA,Apoderado,2,1,NO,NO,MenosDe18,1.0,PRIV,0
100021732,1,17.0,F,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,6,8,SI,SI,MenosDe18,0.0,PRIV,1
100024002,1,16.0,F,CHORRILLOS,LIMA,LIMA,Apoderado,1,1,NO,SI,MenosDe18,0.0,PUBL,0
100024123,0,16.0,F,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,0,0,NO,NO,MenosDe18,,PUBL,1
100024623,0,23.0,M,COMAS,LIMA ,LIMA,Alumno,3,0,NO,NO,Entre18y25,0.0,PRIV,0
100025749,1,17.0,F,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,1,0,NO,SI,MenosDe18,1.0,PRIV,1
100026766,0,17.0,F,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,1,2,NO,NO,MenosDe18,0.0,PRIV,0
100027031,0,16.0,F,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,8,4,SI,NO,MenosDe18,1.0,PRIV,0
100030823,0,17.0,F,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,2,0,NO,NO,MenosDe18,0.0,PRIV,0
100030843,0,25.0,F,VILLA EL SALVADOR,LIMA ,LIMA,Alumno,3,0,SI,NO,Mayor25,1.0,PRIV,0
100031294,1,17.0,F,ATE,LIMA,LIMA,Apoderado,0,12,SI,NO,MenosDe18,0.0,PRIV,0
100031503,1,16.0,F,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,1,1,NO,SI,MenosDe18,0.0,PRIV,1
100032772,0,17.0,F,CHORRILLOS,LIMA,LIMA,Apoderado,4,4,NO,NO,MenosDe18,0.0,PRIV,0
100033304,0,17.0,F,CHORRILLOS,LIMA,LIMA,Apoderado,4,4,NO,NO,MenosDe18,1.0,PRIV,0
100033523,1,16.0,F,CHORRILLOS,LIMA,LIMA,Apoderado,4,8,NO,NO,MenosDe18,1.0,PRIV,0
100036604,0,16.0,F,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,0,0,NO,NO,MenosDe18,0.0,PRIV,0
100037324,0,16.0,F,CHORRILLOS,LIMA,LIMA,Apoderado,0,0,NO,NO,MenosDe18,0.0,PRIV,0
100038194,0,16.0,F,ATE,LIMA,LIMA,Apoderado,0,0,NO,NO,MenosDe18,0.0,PRIV,1
100038291,1,17.0,F,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,1,1,NO,SI,MenosDe18,0.0,PRIV,1
100038477,1,16.0,F,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,4,3,NO,SI,MenosDe18,0.0,PRIV,1
100039069,1,16.0,F,COMAS,LIMA,LIMA,Apoderado,6,6,SI,NO,MenosDe18,1.0,PRIV,1
100040096,0,16.0,F,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,4,4,SI,NO,MenosDe18,0.0,PRIV,1
100043620,0,22.0,F,VILLA EL SALVADOR,LIMA ,LIMA,Alumno,3,0,NO,NO,Entre18y25,1.0,PRIV,0
100044949,1,17.0,F,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,2,1,NO,SI,MenosDe18,1.0,PRIV,1
100045880,0,17.0,F,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,0,0,NO,NO,MenosDe18,0.0,PRIV,0
100046375,0,17.0,F,COMAS,LIMA,LIMA,Apoderado,1,0,NO,NO,MenosDe18,0.0,PRIV,0
100046948,0,16.0,F,ATE,LIMA,LIMA,Apoderado,0,2,NO,NO,MenosDe18,0.0,PRIV,1
100048427,0,21.0,F,SANTA ANITA,LIMA ,LIMA,Alumno,2,6,SI,SI,Entre18y25,1.0,PRIV,0
100049023,1,16.0,F,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,10,10,SI,SI,MenosDe18,0.0,PRIV,1
100049065,1,16.0,F,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,1,1,NO,SI,MenosDe18,1.0,PRIV,1
100049302,0,25.0,F,VILLA EL SALVADOR,LIMA ,LIMA,Alumno,3,3,SI,NO,Mayor25,1.0,PRIV,0
100049521,1,16.0,F,ATE,LIMA,LIMA,Apoderado,12,6,SI,NO,MenosDe18,0.0,PRIV,0
100052309,1,16.0,F,ATE,LIMA,LIMA,Apoderado,9,9,SI,NO,MenosDe18,1.0,PRIV,0
100052672,1,17.0,F,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,3,3,NO,SI,MenosDe18,0.0,PRIV,1
100052849,1,22.0,F,LURIN,LIMA ,LIMA,Alumno,6,9,SI,NO,Entre18y25,0.0,PRIV,1
100054023,0,16.0,F,ATE,LIMA,LIMA,Apoderado,3,3,SI,NO,MenosDe18,0.0,PRIV,0
