,Modelo,Tipo_Data,Exactitud,AUC,F1-Score,Precisión,Recall,Puntuación
13,SVM (Optimizado y con SMOTE),Data Original,0.8121546961325967,0.816501491718391,0.6936936936936937,0.7623762376237624,0.6363636363636364,0.9761324589373414
5,Regresión Logística (SMOTE),Data Original,0.7845303867403315,0.8138609787044341,0.6666666666666666,0.6902654867256637,0.6446280991735537,0.956651819261839
10,Regresión Logística (Optimizado y con SMOTE),Data Original,0.7928176795580111,0.8113576351976957,0.6696035242290749,0.7169811320754716,0.628099173553719,0.9564369280659595
8,SVM (SMOTE),Data Original,0.7596685082872928,0.7916395185350298,0.6266094420600858,0.6517857142857143,0.6033057851239669,0.9160485552779785
11,Random Forest (Optimizado y con SMOTE),Data Original,0.7624309392265194,0.8107060800384075,0.6018518518518519,0.6842105263157895,0.5371900826446281,0.9029601615786566
2,XGBoost,Data Original,0.7624309392265194,0.7749734234079764,0.6126126126126126,0.6732673267326733,0.5619834710743802,0.8971629476492502
0,Regresión Logística,Data Original,0.7651933701657458,0.8081341517780598,0.5893719806763285,0.7093023255813954,0.5041322314049587,0.8928559698758406
12,XGBoost (Optimizado y con SMOTE),Data Original,0.7403314917127072,0.7803573265663043,0.5982905982905983,0.6194690265486725,0.5785123966942148,0.8894011194615853
6,Random Forest (SMOTE),Data Original,0.7513812154696132,0.7963718665340696,0.5909090909090909,0.6565656565656566,0.5371900826446281,0.888958519886284
1,Random Forest,Data Original,0.7624309392265194,0.795806042316793,0.5865384615384616,0.7011494252873564,0.5041322314049587,0.8857140029525885
7,XGBoost (SMOTE),Data Original,0.7292817679558011,0.7784026610884401,0.5847457627118644,0.6,0.5702479338842975,0.8781691275297785
9,KNN (SMOTE),Data Original,0.7265193370165746,0.728232913823257,0.5395348837209303,0.6170212765957447,0.4793388429752066,0.8226597239305977
14,KNN (Optimizado y con SMOTE),Data Original,0.7237569060773481,0.7198827200713281,0.5327102803738317,0.6129032258064516,0.47107438016528924,0.814234852556734
4,KNN,Data Original,0.7403314917127072,0.7287301532869244,0.5204081632653061,0.68,0.4214876033057851,0.8121194224733785
3,SVM,Data Original,0.6629834254143646,0.787558725695278,0.06153846153846154,0.4444444444444444,0.03305785123966942,0.5805880100264582
