IdAlumno,Prediccion,Prediccion_Probabilidad,Edad,Genero,Distrito,Provincia,Departamento,FamiliarResponsable,CantParcialesDesaprobados,CantFinalesDesaprobados,ExcedeNotasDesaprobadasNoParcNoFin,ExcedeMitadCursosDesaprobados,GrupoEdad,ExcedePagosAtrasados,TipoColegio,Desercion
100004070,1,0.5407203464000375,16.0,F,CHORRILLOS,LIMA,LIMA,Apoderado,0,0,SI,NO,MenosDe18,1.0,PUBL,0
100008630,0,0.38808869850370614,16.0,F,COMAS,LIMA,LIMA,Apoderado,0,0,NO,NO,MenosDe18,1.0,PRIV,0
100009785,1,0.8799108386347259,17.0,F,CHORRILLOS,LIMA,LIMA,Apoderado,2,1,NO,SI,MenosDe18,1.0,PRIV,0
100011191,1,0.9011203529656927,17.0,F,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,3,3,SI,NO,MenosDe18,0.0,PUBL,1
100012563,0,0.30211509278308735,17.0,F,ATE,LIMA,LIMA,Apoderado,0,0,NO,NO,MenosDe18,0.0,PRIV,1
100014106,1,0.8580677857907162,16.0,F,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,1,1,NO,SI,MenosDe18,1.0,PRIV,1
100014115,0,0.39918021514165364,17.0,F,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,1,0,NO,NO,MenosDe18,0.0,PRIV,1
100014891,1,0.8817624430539243,16.0,F,COMAS,LIMA,LIMA,Apoderado,1,2,NO,SI,MenosDe18,1.0,PRIV,0
100015358,1,0.5,16.0,F,COMAS,LIMA,LIMA,Apoderado,1,0,NO,NO,MenosDe18,1.0,PRIV,0
100015416,0,0.3692682676723875,17.0,F,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,0,0,NO,NO,MenosDe18,0.0,PRIV,1
100016426,1,0.4022009769491472,17.0,F,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,0,0,NO,NO,MenosDe18,1.0,PRIV,1
100017913,1,0.5784790852733658,17.0,F,CHORRILLOS,LIMA,LIMA,Apoderado,2,1,NO,NO,MenosDe18,1.0,PRIV,0
100021732,1,0.9843305853026114,16.0,F,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,3,4,SI,SI,MenosDe18,0.0,PRIV,1
100024002,1,0.8189046103558295,16.0,F,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,1,1,NO,SI,MenosDe18,0.0,PUBL,0
100024123,1,0.5284955258327941,17.0,F,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,0,0,NO,NO,MenosDe18,1.0,PUBL,1
100024623,0,0.25988585627250677,23.0,M,COMAS,LIMA ,LIMA,Alumno,1,0,NO,NO,Entre18y25,0.0,PRIV,0
100025749,1,0.8424550763251044,16.0,F,COMAS,LIMA,LIMA,Apoderado,1,0,NO,SI,MenosDe18,1.0,PRIV,1
100026766,1,0.4552690681226075,16.0,F,ATE,LIMA,LIMA,Apoderado,1,2,NO,NO,MenosDe18,0.0,PRIV,0
100027031,1,0.8127294631039212,16.0,F,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,4,2,SI,NO,MenosDe18,1.0,PRIV,0
100030823,1,0.44306211676741736,16.0,F,CHORRILLOS,LIMA,LIMA,Apoderado,1,0,NO,NO,MenosDe18,0.0,PRIV,0
100030843,0,0.32850603527760197,25.0,F,VILLA EL SALVADOR,LIMA ,LIMA,Alumno,1,0,NO,NO,Mayor25,1.0,PRIV,0
100031294,1,0.6995831181720902,16.0,F,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,0,3,NO,NO,MenosDe18,0.0,PRIV,0
100031503,1,0.7901018631779112,16.0,F,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,1,1,NO,SI,MenosDe18,0.0,PRIV,1
100032772,1,0.5432813996503726,16.0,F,CHORRILLOS,LIMA,LIMA,Apoderado,2,2,NO,NO,MenosDe18,0.0,PRIV,0
100033304,1,0.9610082977851556,17.0,F,ATE,LIMA,LIMA,Apoderado,4,4,NO,NO,MenosDe18,1.0,PRIV,0
100033523,1,0.5730669928174422,16.0,F,ATE,LIMA,LIMA,Apoderado,1,2,NO,NO,MenosDe18,1.0,PRIV,0
100036604,0,0.29494626646757105,17.0,F,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,0,0,NO,NO,MenosDe18,0.0,PRIV,0
100037324,0,0.26782876071280975,16.0,F,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,0,0,NO,NO,MenosDe18,0.0,PRIV,0
100038194,0,0.3663825101617331,17.0,F,CHORRILLOS,LIMA,LIMA,Apoderado,0,0,NO,NO,MenosDe18,0.0,PRIV,1
100038291,1,0.7879460908279384,16.0,F,CHORRILLOS,LIMA,LIMA,Apoderado,1,1,NO,SI,MenosDe18,0.0,PRIV,1
100038477,1,0.9824980716436864,17.0,F,ATE,LIMA,LIMA,Apoderado,4,3,SI,SI,MenosDe18,0.0,PRIV,1
100039069,1,0.6003746282807285,16.0,F,COMAS,LIMA,LIMA,Apoderado,2,2,NO,NO,MenosDe18,1.0,PRIV,1
100040096,1,0.5063151098865761,17.0,F,ATE,LIMA,LIMA,Apoderado,2,2,NO,NO,MenosDe18,0.0,PRIV,1
100043620,0,0.34671216067114985,22.0,F,VILLA EL SALVADOR,LIMA ,LIMA,Alumno,1,0,NO,NO,Entre18y25,1.0,PRIV,0
100044949,1,0.8812736500028472,17.0,F,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,2,1,NO,SI,MenosDe18,1.0,PRIV,1
100045880,0,0.26782876071280975,16.0,F,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,0,0,NO,NO,MenosDe18,0.0,PRIV,0
100046375,1,0.47953407509381496,17.0,F,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,1,0,NO,NO,MenosDe18,0.0,PRIV,0
100046948,0,0.30523066478146027,16.0,F,CHORRILLOS,LIMA,LIMA,Apoderado,0,1,NO,NO,MenosDe18,0.0,PRIV,1
100048427,1,0.5770162275300353,21.0,F,SANTA ANITA,LIMA ,LIMA,Alumno,1,3,SI,SI,Entre18y25,1.0,PRIV,0
100049023,1,0.9794673194695325,16.0,F,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,5,5,SI,SI,MenosDe18,0.0,PRIV,1
